code_region,region,rang_vaccinal,date_debut_semaine,nb
75,NAQ,1,2021-03-01,31128
75,NAQ,2,2021-03-01,30817
75,NAQ,1,2021-03-08,47427
75,NAQ,2,2021-03-08,24067
75,NAQ,1,2021-03-15,67222
75,NAQ,2,2021-03-15,12865
75,NAQ,1,2021-03-22,70359
75,NAQ,2,2021-03-22,15041
75,NAQ,1,2021-03-29,36381
75,NAQ,2,2021-03-29,25894
75,NAQ,1,2021-04-05,11564
75,NAQ,2,2021-04-05,40594
75,NAQ,1,2021-04-12,4912
75,NAQ,2,2021-04-12,64111
75,NAQ,1,2021-04-19,1796
75,NAQ,2,2021-04-19,58748
28,NOR,1,2021-01-18,21368
28,NOR,2,2021-01-18,28
28,NOR,1,2021-01-25,18895
28,NOR,2,2021-01-25,2067
28,NOR,1,2021-02-01,14148
28,NOR,2,2021-02-01,7177
28,NOR,1,2021-02-08,13240
28,NOR,2,2021-02-08,12845
28,NOR,1,2021-02-15,7739
28,NOR,2,2021-02-15,19708
28,NOR,1,2021-02-22,7906
28,NOR,2,2021-02-22,17962
28,NOR,1,2021-03-01,19343
28,NOR,2,2021-03-01,13862
28,NOR,1,2021-03-08,34887
28,NOR,2,2021-03-08,10689
28,NOR,1,2021-03-15,39328
28,NOR,2,2021-03-15,4603
28,NOR,1,2021-03-22,36255
28,NOR,2,2021-03-22,6828
28,NOR,1,2021-03-29,8528
28,NOR,2,2021-03-29,20396
28,NOR,1,2021-04-05,1302
28,NOR,2,2021-04-05,32521
28,NOR,1,2021-04-12,1018
28,NOR,2,2021-04-12,39097
28,NOR,1,2021-04-19,1085
28,NOR,2,2021-04-19,35633
76,OCC,1,2021-01-18,33683
76,OCC,2,2021-01-18,126
76,OCC,1,2021-01-25,35620
76,OCC,2,2021-01-25,3078
76,OCC,1,2021-02-01,30710
76,OCC,2,2021-02-01,10372
76,OCC,1,2021-02-08,28024
76,OCC,2,2021-02-08,17185
76,OCC,1,2021-02-15,18235
76,OCC,2,2021-02-15,33197
76,OCC,1,2021-02-22,19061
76,OCC,2,2021-02-22,34959
76,OCC,1,2021-03-01,39879
76,OCC,2,2021-03-01,29379
76,OCC,1,2021-03-08,46181
76,OCC,2,2021-03-08,25733
76,OCC,1,2021-03-15,61652
76,OCC,2,2021-03-15,15364
76,OCC,1,2021-03-22,63484
76,OCC,2,2021-03-22,17169
76,OCC,1,2021-03-29,29980
76,OCC,2,2021-03-29,24959
76,OCC,1,2021-04-05,8602
76,OCC,2,2021-04-05,39404
76,OCC,1,2021-04-12,5868
76,OCC,2,2021-04-12,61335
76,OCC,1,2021-04-19,3357
76,OCC,2,2021-04-19,60773
93,PAC,1,2021-01-18,33502
93,PAC,2,2021-01-18,115
93,PAC,1,2021-01-25,33186
